cht,vec
花紋,"[-7.90384773e-04 -5.85674085e-02  6.73521817e-01  6.71758503e-02
 -4.63366136e-02 -1.52683426e-02 -3.81361157e-01 -1.25017896e-01
  5.35187721e-01  1.60863236e-01  1.19850002e-01  1.13349222e-01
  4.31684524e-01 -1.47787780e-01  2.18822464e-01 -3.61410715e-02
 -4.26078886e-02 -4.33798283e-01  2.55791873e-01  4.26406115e-02
 -2.38377541e-01  5.51852435e-02  2.22591922e-01 -1.19384259e-01
 -4.92436513e-02  1.43770397e-01 -2.84092501e-02 -1.44559383e-01
  9.18429121e-02  4.27576751e-02 -9.73620936e-02 -1.67339683e-01
  9.86184552e-02  2.91088194e-01  1.58782452e-01 -3.29142101e-02
 -9.40772444e-02  3.33913974e-02 -7.06513599e-02  4.03348617e-02
  2.03310639e-01 -3.52035969e-01  3.64649475e-01 -1.98522359e-01
  2.46516317e-01  2.83007324e-01 -2.09687322e-01  3.27099264e-02
  1.42597452e-01 -1.10523365e-02 -3.26474644e-02  2.47846708e-01
  1.22235782e-01  2.92932361e-01 -6.24414824e-04  1.84434012e-01
  1.76631942e-01 -1.84499472e-01  1.64316162e-01  2.81472415e-01
  4.39913094e-01 -2.14586884e-01 -1.93027049e-01  9.03720409e-02
 -1.41824856e-01 -1.05412714e-01 -1.02222957e-01  1.28869563e-01
  3.03488411e-03 -1.82276815e-01  2.26586685e-01  2.07272083e-01
 -2.45674536e-01 -6.46412894e-02 -4.23282057e-01 -4.23680507e-02
  2.95041382e-01 -1.31284773e-01  8.12449753e-02 -5.33977002e-02
 -1.83111615e-02  7.80509552e-04 -2.04434872e-01 -1.12273097e-01
  1.56237707e-01  1.64155830e-02 -3.66536751e-02  2.84926537e-02
  4.39401031e-01  4.81251627e-01 -1.83254242e-01 -2.84223054e-02
  1.07668221e-01  3.75681400e-01 -1.38423860e-01 -7.89881125e-02
  3.67954634e-02 -1.30376041e-01  1.40718922e-01  3.39962900e-01
 -2.31423989e-01  2.90451087e-02  3.07620704e-01 -3.00350264e-02
 -3.12593766e-02 -4.12595738e-03 -1.84865043e-01 -1.80002242e-01
  2.94575810e-01  4.90312248e-01  1.57369629e-01 -1.73440143e-01
 -1.32603273e-02  1.36563869e-03 -4.65466222e-03  6.73114741e-03
 -5.85695319e-02 -7.58725852e-02 -2.99920198e-02 -1.46032482e-01
 -2.58840173e-01 -2.35115513e-01 -9.09750015e-02  2.30295092e-01
 -3.41110170e-01 -5.23519099e-01 -1.24422871e-01 -1.38228849e-01
  1.98289454e-02  1.28497137e-02 -4.10391152e-01  8.36988911e-02
 -1.16073668e-01 -2.83370465e-01  4.11713831e-02 -2.37633716e-02
 -2.77352035e-01 -1.01003461e-01  1.82122514e-01 -3.61196280e-01
 -2.41462529e-01 -9.60460305e-02 -6.28872439e-02  2.02285990e-01
  8.34175721e-02 -1.79513812e-01 -2.28453398e-01 -3.43428403e-01
  4.73110527e-02  2.55420297e-01  3.74239028e-01  3.82872105e-01
 -5.08701280e-02 -1.90409094e-01 -9.43213888e-03  3.38009953e-01
 -6.17458671e-02 -2.72081904e-02 -5.94667755e-02 -4.27994952e-02
  1.94582060e-01 -1.08143941e-01  4.16950881e-02 -2.64742106e-01
  7.09674805e-02 -6.52338192e-02 -9.87522081e-02 -4.46493849e-02
 -8.84751678e-02  3.44490290e-01  1.28760651e-01  1.41263530e-01
 -4.38412786e-01  1.76604524e-01 -3.36443245e-01  1.85080454e-01
 -1.62222266e-01  4.14112024e-02 -1.14049658e-01 -1.06117874e-01
  1.88941255e-01 -9.55292881e-02  1.56618953e-01  1.97719082e-01
 -3.78566869e-02 -1.19357795e-01 -2.51771480e-01 -3.30732092e-02
 -3.02913457e-01  2.95791149e-01 -3.09000552e-01  2.76964217e-01
  1.71147794e-01  3.32474977e-01  1.38880983e-01  2.75006533e-01
 -2.30715647e-01 -7.42812902e-02  3.27236086e-01 -1.26079902e-01
 -1.98175773e-01  3.94318461e-01  2.26191789e-01 -2.25932598e-02
  5.96121699e-02 -9.78820305e-03  4.89469431e-02  2.61013266e-02
 -2.92376149e-03 -4.76641804e-01  1.61834776e-01 -2.60472864e-01
  7.03986660e-02  1.78974673e-01 -3.61473531e-01  2.47603625e-01
  1.02278695e-01  1.67583317e-01  1.95522621e-01  1.85315430e-01
 -4.25399356e-02  3.75441849e-01 -1.15596496e-01  2.26451606e-01
 -8.07989016e-02  1.86748371e-01 -2.22295284e-01 -1.91259980e-01
 -1.46433726e-01 -7.81053126e-01  7.54425004e-02  1.04207373e+00
  2.75413036e-01  2.47375980e-01  1.36161730e-01 -2.34632224e-01
 -7.79645741e-02  2.81606108e-01 -9.48767960e-02 -2.82535970e-01
 -1.58526763e-01  8.38450789e-02 -2.68674761e-01 -7.36303777e-02
 -2.34222319e-02 -6.30186498e-02  5.17325103e-02 -2.16251407e-02
 -5.47474325e-02  1.77910075e-01  1.63519215e-02  1.19495951e-01
 -3.57340537e-02 -1.50206676e-02  1.03484001e-02 -1.04846328e-01
  7.04043061e-02 -3.97710770e-01  2.10981630e-02 -1.80367842e-01
  2.89461136e-01  9.91650745e-02  1.09650709e-01 -3.12863469e-01
 -2.01179134e-03 -6.14665635e-02 -3.22165452e-02  3.87654781e-01
  7.73233250e-02 -3.37446481e-02  1.15857676e-01 -1.66101232e-01
 -1.22885235e-01  1.38925076e-01  5.60205758e-01 -6.39060676e-01
 -3.19546640e-01 -2.74829268e-01  3.69475126e-01  6.16010949e-02
  1.18391924e-01 -1.44058689e-02 -1.86829954e-01 -1.43067896e-01
  1.49966285e-01  2.73221917e-02  2.84041613e-02 -3.34360301e-02
  8.87658298e-02 -2.56142527e-01  3.50257248e-01  6.27329051e-02
 -1.09650940e-01 -1.46063268e-01 -2.50798255e-01  1.04212247e-01
 -3.48781496e-01 -1.17465556e-01 -2.45907545e-01  5.21432534e-02]"
圖案,"[ 2.62892693e-02 -3.82612422e-02  6.05660021e-01  1.22546978e-01
 -1.25394374e-01  1.33276870e-02 -7.41774887e-02 -1.99890047e-01
  2.67583907e-01 -7.32997507e-02  1.28619805e-01  4.97212671e-02
  2.98546851e-01  1.31980414e-02  2.54106104e-01  2.06522197e-01
 -9.44563467e-03 -1.37205586e-01  4.26528677e-02  7.59146139e-02
 -1.43839523e-01  1.00331038e-01  6.16272271e-01 -1.64966822e-01
  1.37459561e-01 -7.20408931e-02 -1.61428183e-01 -3.62902999e-01
  1.37704223e-01 -4.02325541e-02  1.37008443e-01  9.02540013e-02
  9.81418192e-02  1.47845745e-01 -4.55337353e-02  9.00812261e-03
 -2.05222175e-01  3.34217586e-02  1.09136239e-01 -2.53458768e-01
  1.69257652e-02 -2.58109689e-01  3.60298127e-01  3.71921435e-02
  3.78411293e-01  1.75593585e-01 -4.20789331e-01  4.28329743e-02
  7.16028512e-02 -2.90039163e-02 -9.61462688e-03  1.82635799e-01
 -3.78855728e-02  9.29408893e-02  1.44734189e-01 -1.12969629e-01
  2.54565001e-01 -4.66104113e-02 -7.88333267e-02  8.92398134e-02
  2.50199705e-01 -1.28146738e-01 -2.67378036e-02  1.39348194e-01
  2.76828166e-02 -2.16487631e-01 -1.02368169e-01  2.56432712e-01
  4.41864431e-02 -1.41467646e-01  6.78108558e-02  1.22322269e-01
 -2.10782051e-01 -1.02446772e-01 -1.49914652e-01 -1.41714871e-01
 -9.86380056e-02  1.93567332e-02  2.33570579e-02  1.32773533e-01
 -1.51963681e-01 -7.34192282e-02  5.23360334e-02  2.34549493e-01
  2.53138952e-02 -7.71820098e-02 -2.61125475e-01 -1.71523467e-01
  2.22241074e-01  2.55557358e-01 -1.43867835e-01  1.47410437e-01
  5.76090068e-02  2.86539406e-01 -1.35737792e-01  8.70893523e-02
 -2.56263316e-02 -1.57136321e-01 -3.77033791e-03  3.81719656e-02
 -2.78384477e-01 -2.12163046e-01 -4.22690973e-05  2.24116817e-01
  6.81837201e-02 -1.11622065e-01 -2.05843411e-02 -1.22535013e-01
  2.90187836e-01  2.98288971e-01 -1.49511304e-02 -3.15463960e-01
  9.74250957e-03  9.66892838e-02 -7.45643750e-02 -1.02784008e-01
  6.20781370e-02 -3.37524772e-01  1.01426253e-02 -3.40290993e-01
 -2.75504410e-01 -3.19043308e-01 -1.18869364e-01 -1.04238883e-01
  1.40181333e-02 -1.90725565e-01 -1.34377062e-01  3.18642929e-02
 -9.83486995e-02  9.22179669e-02 -3.34487349e-01  1.15481056e-01
  7.91900083e-02 -1.57516748e-01 -4.14842963e-02 -2.23898605e-01
 -1.93591252e-01 -5.28748669e-02  3.22037637e-01  2.26931721e-01
  1.01292521e-01 -2.01241344e-01 -2.13899791e-01  2.08209470e-01
  4.60378341e-02  1.01100631e-01 -2.58503556e-01 -1.83324572e-02
  8.24269727e-02  2.90847924e-02  6.02700591e-01  1.14632539e-01
 -7.59848580e-02  1.70689657e-01  2.06471592e-01  1.77189320e-01
 -9.48008522e-02 -3.52474339e-02 -2.21276898e-02  1.16134681e-01
  6.72850907e-02 -1.57253649e-02 -1.94396020e-03 -9.47863683e-02
 -5.99326342e-02  5.30457050e-02 -3.71200480e-02  7.98659548e-02
 -1.17380880e-01  3.28989983e-01 -7.40965316e-03 -1.58242299e-03
 -2.86005080e-01  2.57278591e-01 -2.43162408e-01 -1.60718903e-01
 -1.13393642e-01  2.64026970e-01 -8.59045684e-02 -2.24926341e-02
 -1.37832344e-01 -1.31653413e-01  1.47018746e-01 -1.12253323e-01
 -3.25579464e-01 -3.55128981e-02 -3.66751164e-01 -1.92622896e-02
  1.15144536e-01  3.55172694e-01 -2.87264049e-01  2.46247053e-01
  1.33570051e-02  1.57177150e-01  1.04929902e-01  3.31347622e-02
 -4.82017845e-02  9.28400308e-02  2.46483296e-01 -2.56543327e-02
 -1.73910052e-01  7.92927817e-02  1.07111558e-02 -2.05362123e-03
 -1.07815549e-01  4.88234423e-02  3.70485216e-01 -2.63234794e-01
 -1.24435835e-01 -1.87707245e-01  1.13169499e-01 -2.40718365e-01
 -1.44918207e-02  6.21996187e-02 -4.50677276e-01 -5.68440333e-02
  2.09670499e-01  2.66333036e-02  5.38948439e-02  6.36303648e-02
 -6.17979392e-02  2.20109165e-01  8.26770067e-02  2.19739467e-01
 -2.63872594e-01  2.87847687e-02  8.68548676e-02 -2.72630930e-01
 -2.29620710e-01 -8.69961917e-01 -1.25809729e-01  8.23804915e-01
  1.48361340e-01 -6.59742653e-02  6.99350759e-02 -1.44761845e-01
 -2.64496505e-01 -2.51539471e-03 -5.94678670e-02 -2.25400597e-01
 -1.11452760e-02  9.44801271e-02 -2.99353242e-01  1.24553375e-01
  2.70971819e-03  2.40633726e-01 -9.36597865e-03  3.34950350e-02
  1.11749463e-01  2.54434310e-02 -6.06630184e-02  1.30246490e-01
  8.51378441e-02  5.12939952e-02  7.38623068e-02  4.73042065e-03
  1.09839231e-01 -2.53294885e-01  2.54494511e-02  1.64472274e-02
  2.02295437e-01  1.48764476e-01 -1.40660191e-02  7.14142025e-02
 -3.18828644e-03 -1.87906250e-01 -2.69430981e-04  2.81826943e-01
 -7.33906701e-02  5.16026132e-02  1.98402703e-02 -6.03547459e-03
 -1.73813552e-01 -9.96527970e-02  3.61386836e-01 -2.03500524e-01
 -2.08418638e-01  1.14810048e-02  2.75845438e-01  7.63930231e-02
  1.85031027e-01  4.08552364e-02 -1.53701127e-01 -3.07941791e-02
 -1.87285945e-01  1.43966585e-01 -1.09848671e-01 -3.33829485e-02
 -9.51006860e-02 -7.51152411e-02  1.31210610e-01  9.46516618e-02
  5.05102985e-02  6.15685433e-02 -3.21348459e-01  1.80136323e-01
 -1.41780630e-01 -5.93012683e-02  8.17612559e-02 -4.58292663e-02]"
條紋,"[ 0.10904854 -0.18149054  0.48312086 -0.02177954 -0.20070128  0.20831949
 -0.23580283 -0.2701686   0.28659168 -0.22121648 -0.10300371 -0.04960784
  0.15472223 -0.03283893  0.2501227   0.10525521 -0.00718137 -0.1017659
  0.13852552  0.11112005  0.03863915 -0.07396663  0.1218706   0.01024038
  0.31863996  0.13447137 -0.28319097  0.33555526  0.10839372 -0.0147646
  0.25298557 -0.2942124   0.11256544 -0.12352077 -0.18550265  0.03782701
  0.09185258  0.06519859 -0.13067041  0.05000176  0.13827157 -0.2803016
  0.15110514  0.19370568  0.11095697  0.18103321 -0.29082668  0.17224696
  0.08705422 -0.22219682  0.02285743 -0.00187426 -0.07982539  0.33229977
  0.01655059 -0.00943093  0.17125125 -0.26014346 -0.03332958  0.30884877
  0.13749515 -0.227318   -0.17504926  0.1468262  -0.03171979 -0.10208549
  0.23308994 -0.13398482  0.22580452 -0.27603787  0.28497127  0.0021743
 -0.31007186  0.13445686 -0.1942738  -0.03732533 -0.22917472 -0.09570628
  0.02166357  0.01932145 -0.18988235 -0.21009408  0.06907832 -0.08260766
  0.06225513  0.11798567 -0.30692542 -0.379627    0.29819798  0.44182187
 -0.1190542  -0.061308    0.01269642  0.37574244  0.30652452  0.28333318
 -0.11796334 -0.11597401 -0.02301973  0.11728773 -0.09836256  0.06880461
  0.19675508  0.32339388 -0.2698726  -0.17208266 -0.10599273 -0.11697561
  0.08637182  0.07420933  0.09138358 -0.33802906 -0.24649605  0.38247022
  0.1070962  -0.10219125  0.1649674  -0.21571012  0.27701327 -0.24552913
 -0.08913558 -0.12786226 -0.21340123 -0.09095288  0.01797506 -0.17392556
  0.10113581 -0.6427232   0.13487123 -0.11279202 -0.40624708 -0.00271106
  0.20310152 -0.00148338  0.14504682  0.02064172  0.02465795  0.06691594
  0.2538156  -0.33625814 -0.22127973 -0.30924806 -0.33401433  0.20280614
  0.1925611   0.01940831  0.08512367  0.26086468 -0.01292043 -0.0317707
  0.7438483   0.3236611   0.01489921 -0.21823236  0.01599926  0.21965264
 -0.13798663 -0.1293699   0.22919315 -0.04643803  0.14231385 -0.18526855
  0.18804836 -0.06120937 -0.11216202  0.18226531  0.0900895   0.12857948
 -0.17517708  0.161809    0.27194747 -0.06139481  0.02711941  0.37942305
 -0.20458047  0.20062762 -0.15781341  0.39700454 -0.10594665 -0.02241528
 -0.01992184 -0.05007876  0.0180342   0.02720832 -0.08845796 -0.30963838
 -0.40038252 -0.02633557  0.28093502  0.355162   -0.39488843  0.04253865
  0.31837833  0.17963873  0.4158708  -0.10019024 -0.02019642 -0.21225259
  0.01788509 -0.16997644 -0.24082744 -0.19959164 -0.07448896  0.15353602
  0.21053673 -0.04580857  0.19223712 -0.19045661 -0.08656012 -0.21259107
 -0.18763323 -0.0950679  -0.09879924  0.14590853 -0.4073208   0.13118702
  0.24544962  0.13671523  0.309993    0.15944128 -0.01980261  0.2853627
 -0.02076815  0.3248762   0.0579265   0.15264942  0.03646019  0.02599212
 -0.49213263 -1.0814357   0.1966289   1.0600177   0.09008133  0.05131683
  0.03848098  0.11469229 -0.01415108  0.0160984  -0.08244929 -0.01819664
 -0.3145618   0.14158908 -0.22105195  0.2142231   0.17123856 -0.03763128
 -0.11374988 -0.17435744 -0.06197865 -0.19010983  0.01676649 -0.07095578
  0.21207277 -0.15340638 -0.3482383   0.22848712  0.00862549 -0.5324537
  0.07772703  0.0480211   0.06119633  0.03583434  0.03950085  0.06717242
  0.24077831 -0.17991886  0.15356816  0.24705799 -0.28293452  0.255217
 -0.12548229  0.11270928 -0.21147732 -0.17967476  0.08710527 -0.7418832
 -0.25651044 -0.31508625  0.07257196 -0.10107728  0.23679197 -0.09926008
 -0.04873118 -0.09697206 -0.08496796  0.15720108 -0.08022016  0.12073962
  0.05418007 -0.24929425  0.3071248   0.08732505 -0.01978662  0.00414382
 -0.00258464  0.07604896 -0.21827112  0.233143    0.12653323 -0.2048982 ]"
繡花,"[ 0.02478183  0.17360812  0.11330241  0.164626    0.21993624  0.23932432
 -0.13317454 -0.26930276  0.9416041  -0.15204155 -0.12716837 -0.0016803
  0.17429067  0.08079888  0.08951621  0.12996314 -0.22369802 -0.11255375
  0.09229244  0.36509356 -0.1948403  -0.02945618  0.08089083 -0.12139975
  0.0217244   0.04404936  0.11218172 -0.05283651  0.3051051  -0.06477573
 -0.07532765 -0.23193237  0.09140302  0.39315844 -0.1720598  -0.27989036
  0.15765862 -0.12577987 -0.19741264  0.01073547 -0.02255677  0.01420808
  0.33573723 -0.1486543   0.00492751  0.00718605  0.00223845  0.04546246
 -0.09433328  0.02574909 -0.13218772 -0.03401693  0.01630307  0.27293828
  0.00232173  0.06810125 -0.04113582 -0.19965221 -0.06734444  0.00633658
  0.02701326  0.11916333  0.20447032  0.08525335  0.26722294 -0.15041855
  0.21680829 -0.03681122 -0.09605046  0.0951401   0.02691655  0.06109503
 -0.05163727 -0.22787142 -0.42419678  0.23367114 -0.06514123 -0.15625912
 -0.01163206  0.11166096 -0.11339062  0.08236457 -0.06276006  0.14784619
  0.05842393 -0.05799989 -0.04495977  0.07054447  0.14655858  0.18629554
 -0.06128035  0.10929857 -0.28628388  0.08789043 -0.01637325 -0.1133344
  0.10657862 -0.17435783 -0.1497993  -0.16899884 -0.15240164  0.01645032
  0.24866779  0.28172562 -0.14207794 -0.44718498  0.018007   -0.17192332
  0.3400725   0.19062491  0.07808538 -0.11375616 -0.27964953  0.0875309
  0.18431696  0.04734948  0.2832128  -0.4785184   0.05800914 -0.16475351
 -0.23705912 -0.04319355 -0.18677677  0.04122452 -0.2009409  -0.14134984
  0.09119661 -0.07748497 -0.38091853  0.17239635 -0.24727161 -0.02805627
 -0.02343688 -0.0250794   0.18266761 -0.10803241 -0.10155976 -0.02831458
  0.2513981   0.10059207 -0.04011824  0.01465231 -0.01625729  0.193768
  0.08497081 -0.07543233 -0.06390032 -0.18368152 -0.13049622 -0.08612378
  0.299188    0.18102653 -0.19589123 -0.34022522 -0.12576364  0.25290066
  0.18602395 -0.14611864  0.15944324 -0.10755616  0.1820051  -0.3050453
 -0.44624653  0.17302053 -0.04161571 -0.09412859  0.08726514  0.2898062
 -0.24560851  0.11163978  0.112063    0.20021024 -0.43353513  0.16360201
  0.06560683 -0.14575914 -0.25451502  0.12940079 -0.04330538  0.06825264
  0.27670768  0.10054787  0.09633438  0.03918667 -0.2600261   0.10595869
 -0.1608364  -0.06944218 -0.21209678  0.07950831 -0.28601667  0.09071907
 -0.09682298  0.05166969  0.08041029  0.00454764  0.01776306 -0.20466244
  0.09271605 -0.31850615 -0.19569385  0.33119342  0.27047548  0.18756092
  0.03403135 -0.11193454  0.28302673 -0.07196254  0.10594068 -0.25677115
  0.23918343 -0.057611   -0.05920921 -0.02887296 -0.2740623   0.03354876
  0.37001806  0.0344591   0.02601357 -0.06286929 -0.07791583  0.48904142
 -0.09567598  0.23681591 -0.06996117  0.11906716  0.09371649 -0.21321495
 -0.4231275  -0.6189518   0.21883617  1.0948553   0.16917059 -0.06593016
 -0.12250982  0.05454792 -0.15465127  0.35590506  0.19925234 -0.10332693
  0.226583    0.17439926 -0.18660384  0.02671313  0.18705182  0.0685473
 -0.3219507   0.05975279  0.06006437 -0.15986435 -0.22772413 -0.05664763
  0.0260606  -0.04455347 -0.36577645  0.21060133  0.25670287 -0.4916659
  0.1030774   0.02969416  0.15398258 -0.09788259  0.17419982 -0.07379107
 -0.04536304 -0.22081083 -0.11859912  0.25726599  0.34632632 -0.01476485
  0.1306001   0.02186546  0.01339112 -0.04556552  0.15409997 -0.3399594
 -0.18612868  0.08561362  0.09454842 -0.06101068 -0.09386531  0.04094128
  0.01440128 -0.1455518  -0.11006407  0.06672354 -0.21420568 -0.3377935
  0.14486644 -0.175446    0.292823    0.11223286  0.19973382  0.28058934
  0.14365925  0.12693489 -0.47423643  0.00891042  0.08586118  0.38999966]"
百褶,"[ 0.34440044  0.09624041 -0.00608184 -0.07503263  0.08552801 -0.10059596
 -0.07324753 -0.2818473   0.39583328 -0.1004751  -0.07809117 -0.18489127
 -0.04623352  0.03538619 -0.05826119  0.08637005 -0.08129134  0.02075304
  0.01636175  0.2526983  -0.16272284 -0.2561473  -0.04004101  0.17928842
  0.06215892  0.08682847  0.01325062 -0.0056321  -0.11045745  0.00571085
 -0.04896374 -0.10963969 -0.00296392 -0.01777857  0.10289865  0.08012837
  0.12792246  0.09395479 -0.00607882 -0.10346746  0.11583907 -0.10051204
  0.00734707 -0.07838229  0.01287965  0.01964425  0.4771851   0.08780193
  0.1800169  -0.09109421 -0.20531921  0.05601019  0.10480479  0.00943127
 -0.04328916  0.13343315  0.18545267 -0.19911277 -0.17017882  0.2283582
  0.18886885  0.06866863 -0.03594268  0.00269105 -0.17450432  0.01744323
 -0.10034104 -0.03795692 -0.04493441 -0.07178027 -0.12448416 -0.01529882
 -0.03912417  0.03001439 -0.39646283 -0.02207283 -0.07089423  0.00726988
  0.06668857 -0.0121381  -0.15536869 -0.095934   -0.09854668 -0.19371466
  0.02360694 -0.00878782  0.06208552 -0.07670218  0.08378609  0.14288326
  0.01200149  0.25791252  0.12920696 -0.00963439  0.11702443  0.13223869
  0.08156478 -0.13089196 -0.1662127   0.06770185  0.03644727 -0.01571202
 -0.11909819  0.2616771  -0.01148958 -0.13113177  0.00973981 -0.06139613
  0.04376385  0.07552715  0.05537117  0.0763585   0.2698339  -0.06326295
 -0.10594299 -0.07056793  0.17757039 -0.09202418  0.05022804 -0.14589432
 -0.08310782 -0.263774   -0.20347957 -0.02402398 -0.18150705 -0.0726223
  0.12156152 -0.02151125 -0.03098002 -0.26053053 -0.0132455  -0.03186372
 -0.09529303  0.07124373  0.07507703 -0.06657444 -0.28798208 -0.06002625
  0.42126098 -0.15489869 -0.16598552  0.21197718  0.04019971 -0.03856446
  0.15532361  0.12966111 -0.06742674 -0.13206744  0.02868512 -0.04726518
  0.07986633  0.2276916  -0.2111456  -0.18669172  0.08815585 -0.06841662
  0.11395685  0.02791109  0.12564668  0.24203002  0.0302274  -0.23857109
 -0.13442646 -0.04978907  0.04205634 -0.03832896  0.12622608  0.08648997
  0.09533378  0.01744729  0.05338333 -0.13288325  0.2861332   0.07893425
 -0.13622124  0.13144216 -0.15027833 -0.13589199 -0.02647866  0.12599336
  0.00240569 -0.09638821  0.16418093 -0.03271157 -0.05360569 -0.34789357
 -0.20034955 -0.06773312  0.06796553  0.01878982 -0.15376493  0.03286795
  0.09823034  0.19217163  0.11795696 -0.04514745  0.08251956 -0.03022939
  0.26265562 -0.10824347 -0.22078684  0.19761175 -0.04189616 -0.08978283
  0.10731959  0.04163034 -0.1855388   0.01183588 -0.16755706 -0.19888972
 -0.06350214 -0.1571598  -0.19098274 -0.07213371 -0.16983388  0.04669399
 -0.05723209 -0.11440092  0.18854997 -0.00711449 -0.1369809   0.42637646
  0.08207399  0.14217606 -0.24462727  0.11583994  0.32246503  0.11596495
 -0.34734097  0.13784757  0.11705426  1.1792436  -0.07578895  0.01704131
  0.10659748  0.02548354 -0.15116042  0.18237275  0.03803176 -0.12398817
  0.00830078 -0.01523015 -0.06003195 -0.08773256 -0.05397675  0.01774096
  0.04642379  0.06416429 -0.30612424  0.05029768 -0.03133292  0.15517727
 -0.05487887 -0.19129907 -0.01454626  0.13294989  0.02369594 -0.08176023
  0.11944022 -0.15969251 -0.12528892  0.06069697  0.03515587 -0.22089024
 -0.06985153 -0.1533543   0.03439698 -0.03606078 -0.20451444  0.13234355
  0.18965791 -0.11827587 -0.05021548 -0.03040884  0.16965592 -0.2420536
  0.00273762 -0.03513525  0.1539545   0.07504062 -0.27477342  0.11981098
  0.01281151 -0.04972182 -0.02040959  0.10225198 -0.09179036  0.09174678
  0.06003073 -0.25874695 -0.05090987  0.1032929   0.1380562   0.0428238
  0.00171826  0.15204495 -0.060282   -0.08359054  0.00853591  0.02394782]"
素色,"[ 0.06203925  0.01876714  0.24428703 -0.11070828 -0.11694891  0.01328777
 -0.21073475 -0.3866048   0.3409985   0.1865875  -0.34159464 -0.15306541
  0.22494411  0.24566817  0.17755517  0.20526133 -0.13290851  0.11036868
  0.03178758  0.39168555 -0.06136756  0.08432654  0.06521238  0.04741249
 -0.26880214  0.02334346 -0.02448965  0.00270649 -0.12073182  0.23790814
 -0.0414614   0.11562719  0.1406098  -0.20536606 -0.20000422  0.11091861
  0.21804932 -0.0533478  -0.23188682  0.26095912 -0.01555994 -0.01495102
  0.19589308  0.03685696 -0.03890406 -0.0374012   0.3524777   0.1450535
 -0.37115815  0.07254052 -0.03536954 -0.00458487  0.31905445  0.10916613
  0.04393505 -0.02624466  0.18148601 -0.1103038  -0.09899157 -0.12626365
  0.07646161  0.06177396  0.12393407  0.00644674  0.0102625   0.0286341
  0.10258538  0.062383   -0.14751764 -0.10885407 -0.04880637  0.18748952
 -0.17348015  0.23728178 -0.09120414 -0.43024138 -0.0720051  -0.06525563
  0.08388916 -0.00637666 -0.0431878  -0.17749873 -0.04698272 -0.04678344
  0.15102673 -0.11398968 -0.12517843 -0.14019689  0.30594113  0.39064673
 -0.01437836  0.30656528  0.26890895  0.17245138  0.17282091  0.06172436
 -0.17388654 -0.14915408 -0.03774847  0.01249507  0.02447774  0.04990426
  0.0095966   0.28766116 -0.19593346 -0.13964054  0.15649559 -0.22523107
 -0.04266188  0.29919556 -0.19233555 -0.12734614 -0.06259543  0.07502421
  0.00668962  0.11797742  0.18826972 -0.0537736   0.02436226 -0.09002717
 -0.1630744  -0.15845771 -0.45586342 -0.09732497 -0.09300957 -0.27201807
 -0.25166038 -0.4322683   0.12723202  0.11730242 -0.3223573  -0.20559491
  0.1263546  -0.24437812  0.09249713  0.21857142 -0.057975   -0.16999315
  0.24239607  0.01539232  0.01636299 -0.16674119 -0.20968483 -0.08689734
  0.08770665  0.08644253 -0.06680364  0.20106179 -0.16604795  0.20053007
  0.4733236   0.02517612 -0.19805172 -0.37238023  0.08926722  0.12287737
 -0.05991643 -0.03078649  0.08851353  0.05601522  0.1383838  -0.33273384
 -0.4094203  -0.28500092  0.05679056 -0.17554432 -0.12238171 -0.17786108
 -0.10796053  0.16751146 -0.04058029 -0.0949164   0.31564975  0.25086325
 -0.19655207  0.02986579 -0.50256634  0.04524275 -0.3469359   0.01926085
  0.14406288  0.0893891  -0.10182016 -0.06602505 -0.21631056 -0.18795505
 -0.33708277 -0.14451618 -0.09493303  0.4945302  -0.23374029 -0.20655753
  0.00669752  0.12429981 -0.01791739 -0.35269928 -0.03194959 -0.06130945
  0.21719527 -0.15276678 -0.12842418  0.0030568  -0.0388957   0.10667542
  0.17918718 -0.15975098 -0.01489737 -0.05761687 -0.17741273  0.08000834
  0.0936682   0.01513731 -0.23458767 -0.22835231 -0.06988799 -0.14822409
 -0.05903772 -0.06930339  0.10063474 -0.12401678  0.01135251  0.39304113
 -0.19539255  0.33401716 -0.40352923  0.18182305 -0.10201938  0.12491036
 -0.375627    0.3118652   0.16431221  0.975645   -0.131647   -0.06932453
 -0.21010678 -0.04943663  0.33984774  0.1329672  -0.0141692  -0.16401707
  0.01849025 -0.0174078  -0.03337176  0.04094602 -0.08826315 -0.03170712
 -0.23126021  0.18681112  0.13899122  0.06092527 -0.0269857   0.09959971
 -0.05583297  0.01524976 -0.19439305  0.20039883  0.02792079 -0.12089418
  0.136843   -0.24092348 -0.11958729  0.15899442 -0.08243363 -0.33557612
 -0.03048695 -0.26929173 -0.24240036  0.1034748  -0.10755566 -0.09220048
  0.01157315 -0.07341684  0.03790566 -0.20025362  0.16011764 -0.27668718
  0.15739216  0.18803875  0.02310027  0.01231352 -0.5244029   0.31007367
 -0.18481995 -0.10111678 -0.06537636  0.03330905 -0.13854635 -0.06166128
  0.00608992 -0.0369527   0.04665586  0.00997511 -0.32197583  0.00462518
  0.18363716  0.11931148 -0.01467304 -0.08014538  0.08278284  0.06990769]"
